,username,repositories,followers,stars,forks,contributions
316,jsheets,15,6,11,0,0
317,jwogrady,17,6,0,0,0
318,johnjansen,81,16,22,3,0
319,johnbeatty,16,6,0,0,0
320,pharan,15,28,94,15,0
321,JohnColanduoni,17,5,3,0,0
322,jzaccone,62,40,131,50,0
323,bingeboy,66,32,62,12,0
324,JohnProg,420,32,67,28,0
325,tromp,9,104,567,121,0
326,thatmoodyguy,12,6,1,0,0
327,johncosta,88,24,64,16,0
328,Crazedpeanut,32,4,1,2,0
329,jayvdb,338,177,48,18,0
330,jfirebaugh,87,339,1398,170,0
331,Svti,10,36,57,49,0
332,cetfor,3,26,136,28,0
333,jdpipe,4,10,0,0,0
334,hungtd285,206,6,0,0,0
335,johnwright,11,6,5,1,0
336,john-saman,11,29,3,0,0
337,JohnTroony,219,254,1375,734,0
338,mariquit,184,1,0,0,0
339,DeCarabas,26,5,24,2,0
340,johnkozan,39,4,0,0,0
341,trungnghia112,75,8,7,0,0
342,Launchbury,1,22,0,0,0
343,jgravois,193,163,57,36,0
344,jkelleher,28,52,0,0,0
345,linusthe3rd,25,18,8,0,0
346,JRSaunders,10,4,1,0,0
347,j2d3,13,6,2,0,0
348,mysticw,7,5,0,0,0
349,folkhack,7,5,47,22,0
350,johntron,94,23,55,32,0
351,operatorequals,18,52,412,68,0
352,jimbomcb,7,8,4,0,0
353,jmutter,4,12,4,2,0
354,johnbender,74,247,212,22,0
355,zengzhu,21,17,2,0,0
356,johndagostino,27,52,2,1,0
357,ilitirit,2,13,42,13,0
358,neuropil,191,7,5,6,0
359,jstck,18,5,4,3,0
360,JCharante,41,15,13,13,0
361,johnmurch,12,5,0,0,0
362,mojoblanco,36,124,54,24,0
363,udoprog,135,73,371,85,0
364,sitano,51,26,116,24,0
365,john-pettigrew,43,31,37,9,0
366,joschu,24,595,1066,309,0
367,sombree,32,16,0,0,0
368,notmyname,54,95,140,156,0
369,john-patterson,16,5,3,3,0
370,oksas,32,43,3,0,0
371,jjacquay712,5,8,14,2,0
372,gozoinks,5,8,206,93,0
373,skelterjohn,85,198,1680,262,0
374,Lin20,13,20,138,24,0
375,johnpmayer,123,90,255,87,0
376,johnil,20,817,3632,643,0
377,etzJohn,14,20,0,4,0
378,sontek,75,296,911,392,0
379,banister,65,261,1471,161,0
380,cryon,10,6,58,11,0
381,JohnLeeroy,26,16,2,0,0
382,JohnClema,19,43,3,0,0
383,johnrails,47,11,6,0,0
384,JohnONolan,30,556,134,52,0
385,jheintz,14,5,3,1,0
386,kleijnweb,18,4,37,30,0
387,clemej,10,6,12,3,0
388,jrob8577,29,50,9,10,0
389,isimluk,27,23,2,0,0
